"","bag_number","depth","act_depth","species","colony_number","site","sample_id","airbrush_volume","surface_area","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_mg.cm2","D","cor_di","cal_di","cor_a","cal_a"
"181","50",45,44,"CNAT",7,"Turrumote","45CN7T","17.5","14.25905292",4.72506837431669,15.4638601341273,727510.52750143,6.881366623,1.911811756,0.993214822,NA,NA,NA,NA,NA
"182","66",55,53,"CNAT",1,"Turrumote","55CN1T","26","45.52367688",2.27024720064747,8.73830997985064,457856.982623412,1.103892233,0.353230475,1.04892639,NA,NA,NA,NA,NA
"183","67",55,53,"CNAT",2,"Turrumote","55CN2T","16","4.066852368",5.80301369818497,15.7369863001626,NA,8.628556803,1.579009863,1.27443992,NA,NA,NA,NA,NA
"184","80",55,53,"CNAT",3,"Turrumote","55CN3T","16","19.24233983",2.99339895817649,12.8050955433105,160843.225270074,2.380133276,0.734526057,0.497587212,NA,NA,NA,NA,NA
"185","81",55,53,"CNAT",4,"Turrumote","55CN4T","37","30.53760446",3.81660585566442,7.87553589264087,NA,8.303864077,2.439326081,1.410461883,NA,NA,NA,NA,NA
"186","84",55,55,"CNAT",5,"Turrumote","55CN5T","20","30.20334262",4.51936733352197,5.23120907469943,86910.910260038,2.896445418,0.875350134,0.588376307,NA,NA,NA,NA,NA
"187","87",55,53,"CNAT",6,"Turrumote","55CN6T","15","9.384401114",2.55743544083979,7.99198575262434,253460.119628898,4.901031983,1.057859194,1.006508807,NA,NA,NA,NA,NA
"188","71",15,16,"MCAV",1,"Turrumote","15MC1T","17","46.25348189",1.97552694989121,6.76273411683688,184688.798571225,0.744807351,0.241087796,0.536868434,1.091,0.5226,0.9948,0.2074,0.8164
"189","258",15,18,"MCAV",2,"Turrumote","15MC2T","37","26.98328691",5.45059615941355,6.85609579800447,1004418.03440765,5.41149356,2.490442518,1.018740019,1.664,0.5668,0.9755,0.2428,0.758
"190","206",15,15,"MCAV",3,"Turrumote","15MC3T","18.5","20.02785515",3.09444019520982,6.0965090413089,402328.542834503,3.347329856,1.35841306,0.623005872,1.647,0.5315,0.843833333333333,0.23,0.582
"191","207",15,16,"MCAV",4,"Turrumote","15MC4T","23","20.62952646",3.90217391349661,4.57111801295317,671731.36653763,7.116682584,1.686714674,0.765786058,2.322,0.4542,0.7718,0.164,0.4622
"192","261",15,15,"MCAV",5,"Turrumote","15MC5T","15.5","11.40947075",5.26426696873735,8.83038330239814,889830.93278012,6.091809736,1.991896732,0.962418962,2.271,0.5066,0.796,0.205,0.4462
"193","98/ PAN 88",30,31,"MCAV",1,"Turrumote","30MC1T","23","32.02228412",3.84263656954899,8.11622303474834,324010.477092101,3.221889157,1.004472382,0.539042497,2.062,0.5393,0.8811,0.2304,0.5876
"194","122",30,31,"MCAV",2,"Turrumote","30MC2T","15","19.04456825",3.66246160503008,4.80451952487818,795502.413135567,4.959163356,1.566253674,0.774172023,1.602,0.6514,1.082,0.3596,0.922
"195","123",30,32,"MCAV",3,"Turrumote","30MC3T","17","7.389972145",5.34846400290457,3.22058047486727,660410.698489852,5.144992329,1.30393252,1.147118221,3.373,0.506,0.767833333333333,0.220333333333333,0.489
"196","124",30,30,"MCAV",4,"Turrumote","30MC4T","20","32.65738162",3.00085295080678,7.16530194376312,328664.847013537,3.80933275,1.232661591,0.711602965,1.374,0.5535,0.9748,0.2516,0.7104
"197","125",30,30,"MCAV",5,"Turrumote","30MC5T","23","17.03342618",4.32091578184184,3.24068683638138,869809.348837651,5.351926796,1.476976783,1.527465752,1.49,0.5376,1.0027,0.2472,0.7038
"198","12",45,45,"MCAV",1,"Turrumote","45MC1T","37","34.36211699",3.49949335295596,3.76868514933719,452690.870950323,2.861158846,0.828383915,0.701265593,0.994,0.7975,NA,NA,NA
"199","13",45,49,"MCAV",2,"Turrumote","45MC2T","43","29.58495822",2.83421052605428,4.2149797566961,209840.587025172,3.351369163,1.215222267,0.588389162,1.403,0.6022,0.967,0.291,0.7
"200","14",45,44,"MCAV",3,"Turrumote","45MC3T","19.5","36.22841226",2.31448177740263,3.44481008729694,90926.0698111533,3.897968575,1.065495908,0.529347493,0.871,0.78575,NA,NA,NA
"201","16",45,46,"MCAV",4,"Turrumote","45MC4T","25","37.06406685",3.0858729146718,5.19370960502139,294254.001972803,3.128108341,0.925879913,0.725549024,1.682,0.5289,0.911,0.2262,0.6556
"202","20",45,46,"MCAV",5,"Turrumote","45MC5T","25","30.38718663",2.22133101105714,3.7022183517619,403718.096442283,2.223086137,0.713355773,0.479020494,0.78,0.70875,1.058,0.4175,0.899
"203","56",55,54,"MCAV",1,"Turrumote","55MC1T","17","24.00835655",3.62894477256503,6.93925049192924,152902.490112344,3.840178862,1.223644773,0.682626685,2.054,0.534,0.861,0.2292,0.5506
"204","60",55,57,"MCAV",2,"Turrumote","55MC2T","24.5","24.4178273",5.04191050609978,12.1407198256333,246765.147282371,7.812946193,2.936649486,0.674563325,1.561,0.6518,0.9977,0.3636,0.8182
