"HERS","Species"
0.00188064575195313,"OFAV9"
0.189154660926311,"OFAV13"
0.0442838738733009,"OFAV16"
0.152344837371451,"OFRA4"
0.119536266638981,"OFRA9"
5.95640033982731e-19,"OFRA13"
0.0829037753989437,"PAST4"
5.09920142877783e-17,"PAST9"
0.474017298105432,"PAST13"
0.341079293274792,"PAST16"
0.52634794443012,"PPOR4"
0.00449661294886545,"PPOR9"
3.86865504492169e-10,"PPOR13"
0.0725351098443479,"AAGA4"
0.141429665240138,"AAGA9"
0.187729005902758,"AAGA13"
0.336187575012809,"MCAV4"
8.68402909138221e-18,"MCAV9"
0,"MCAV13"
1.7173643554647e-20,"MCAV16"
0.132032932560765,"OFAV4"
0.743672046245875,"OFAV9"
0.474020986672794,"OFAV13"
0.0466298513769525,"OFAV16"
0.602051400730254,"OFRA4"
0.0234621876891784,"OFRA9"
0.0467698954372105,"OFRA13"
0.153246486879663,"OFRA16"
0.424032539493665,"PAST4"
0.999955856705485,"PAST9"
0.0650054953886136,"PAST13"
0.123802658069443,"PAST16"
0.0488902238473974,"PPOR4"
0.0254566864329358,"PPOR9"
0.000456298391024272,"PPOR13"
0.297301483883199,"PPOR16"
0.107232276685032,"AAGA4"
0.0530358239115528,"AAGA9"
1.67574362036923e-18,"AAGA13"
0.367776230805355,"AAGA16"
NA,"MCAV4"
1,"MCAV9"
0.0371108362677357,"MCAV13"
0.291793558562218,"MCAV16"
0.247222325317627,"OFAV4"
1,"OFAV13"
0.579516235312311,"OFRA4"
0,"OFRA9"
0,"OFRA13"
0.241548112921559,"OFRA16"
0.135104999994172,"PAST4"
1.08765028729003e-17,"PAST9"
0.429440698118357,"PAST13"
1.20459704600885e-05,"PPOR4"
0.0863154630186665,"PPOR9"
0.241470398439052,"PPOR13"
0.095427776336348,"AAGA4"
0.254654186183671,"AAGA9"
6.81945807947035e-07,"AAGA13"
0.121517869538051,"AAGA16"
8.83738199869792e-05,"MCAV4"
NA,"MCAV13"
0.255674495212327,"MCAV16"
0.205288616532758,"OFAV4"
0.00975227355957033,"OFAV9"
0.341945944529747,"OFAV13"
0.325304867494434,"OFAV16"
0.0742884081138234,"OFRA9"
0.00594701685065426,"OFRA13"
0.212678123568867,"OFRA16"
0.957629991289364,"PAST4"
0.415928574370043,"PAST9"
2.74119449078014e-07,"PAST13"
1.02646698165085e-06,"PAST16"
0.613656664681396,"PPOR4"
0.134530098342312,"PPOR9"
0.658150852195606,"PPOR13"
NA,"PPOR16"
0.0741962961871759,"AAGA4"
6.94830104391145e-18,"AAGA9"
0.671627490264715,"AAGA13"
0.288185221077864,"AAGA16"
0.303605732587097,"MCAV4"
4.87083098281056e-09,"MCAV9"
0.0705234328068172,"MCAV13"
0.167103383110414,"MCAV16"
0.186051306809174,"OFAV4"
0.000532150268554688,"OFAV9"
0.383422283776234,"OFAV13"
0.148335713789369,"OFAV16"
1.1444091796875e-05,"OFRA4"
0.0318234776430644,"OFRA9"
4.44167107810906e-17,"OFRA13"
0.240039927190423,"OFRA16"
0.104432182627046,"PAST4"
1.00000000000129,"PAST9"
0.135874662684326,"PAST13"
1.88587602610233e-17,"PAST16"
0.221050545475144,"PPOR4"
0.0134970461457363,"PPOR9"
4.49494490328555e-06,"PPOR13"
2.86517000987932e-17,"PPOR16"
0.0315458714235013,"AAGA4"
0.144883708231684,"AAGA9"
2.80242304530795e-05,"AAGA13"
0.222412428189817,"AAGA16"
0.122892143522677,"MCAV4"
7.43529016631374e-09,"MCAV13"
0,"MCAV16"
6.88584864855379e-18,"OFAV4"
NA,"OFAV9"
0.499999999999563,"OFAV16"
0.439291345105965,"OFRA4"
0.111279623986146,"OFRA9"
0,"OFRA13"
0.238725851684717,"OFRA16"
0.290676664014609,"PAST4"
0.427506049166903,"PAST13"
0.803665809491138,"PAST16"
0.471661703488378,"PPOR4"
0.000102519989013672,"PPOR9"
1.29316987296992e-16,"PPOR16"
0.0275796962852606,"AAGA4"
0.171203626928246,"AAGA9"
0.999999999999955,"AAGA13"
0.425994487916888,"AAGA16"
0.263220997001263,"MCAV4"
0.000316381454467774,"MCAV9"
0.228583968683182,"MCAV16"
0.157129918998064,"OFAV4"
0.000446319582850343,"OFAV9"
0.168859655638097,"OFAV13"
8.86210402669083e-18,"OFAV16"
2.80378035004286e-16,"OFRA4"
0.123239971108948,"OFRA9"
8.3059632728936e-17,"OFRA13"
6.49127081808674e-18,"OFRA16"
0.135367262850609,"PAST4"
0.00474262237548828,"PAST9"
0.499323472651697,"PAST13"
0.366321653575045,"PAST16"
0.254892492316837,"PPOR4"
0.00280607031659033,"PPOR9"
0.636134050952027,"PPOR13"
0.368771692624515,"PPOR16"
0.020930874714162,"AAGA4"
0.276209374534542,"AAGA9"
0.999999999999584,"AAGA13"
0.346399015683777,"AAGA16"
NA,"MCAV4"
2.76565551850738e-05,"MCAV9"
0.0491525423298791,"MCAV13"
0.133892150815319,"MCAV16"
0.208644532175193,"OFAV4"
2.16669781861051e-07,"OFAV13"
0.170827825681667,"OFAV16"
0.598171390523961,"OFRA4"
0.196663129354167,"OFRA9"
0.0235459901025487,"OFRA13"
7.11465962859934e-17,"OFRA16"
0.325594864916221,"PAST4"
0.912742836144906,"PAST9"
0.269182522379215,"PAST13"
1.43383743796868e-18,"PAST16"
0.5,"PPOR4"
0.0054748961478299,"PPOR9"
Inf,"PPOR13"
0.366073558492285,"PPOR16"
0.0335143922061139,"AAGA4"
0.0257682384124101,"AAGA9"
0.5,"AAGA13"
0.000781422569638207,"MCAV4"
0.395109413872153,"MCAV9"
0,"MCAV13"
0.301820851914485,"MCAV16"
0.314576996471574,"OFAV4"
0.204949539090235,"OFAV13"
0.158480862128523,"OFAV16"
0.18431693009033,"OFRA4"
3.28712828937644e-08,"OFRA9"
0.0855505874991115,"OFRA13"
0.258529582595979,"OFRA16"
0.377525892903987,"PAST4"
3.55291088248617e-17,"PAST9"
0.353108637523712,"PAST13"
1.04904175662169e-05,"PAST16"
0.206475385879552,"PPOR4"
2.86102315239697e-06,"PPOR9"
0.430400705293402,"PPOR13"
0.241572806756852,"PPOR16"
0.0698787031741939,"AAGA4"
0.0216300761961015,"AAGA9"
2.94661463949362e-20,"AAGA13"
0.34237541720886,"AAGA16"
0.155008061033809,"MCAV4"
4.63770113447947e-18,"MCAV9"
0.018061773596503,"MCAV16"
0.01163271267568,"OFAV4"
0.00384330749511719,"OFAV9"
0.524359447374609,"OFAV13"
0.0818239472517276,"OFAV16"
0.423914172686218,"OFRA4"
0.053419769920984,"OFRA9"
0.0337233206436492,"OFRA16"
0.499830887580755,"PAST4"
0.000422318776448568,"PAST9"
0.396602349965027,"PAST13"
0.726526119346575,"PAST16"
7.18846102151679e-18,"PPOR4"
0.0602327213240398,"PPOR9"
0.474177026862531,"PPOR13"
0.581973576589135,"PPOR16"
0.0437099263805126,"AAGA9"
0.986680540148638,"AAGA13"
0.253584643351618,"AAGA16"
0.452815451132035,"MCAV4"
0.0264973229507132,"MCAV13"
0.211863967568788,"MCAV16"
0.414053511442919,"OFAV4"
Inf,"OFAV13"
0.000750705599784852,"OFRA4"
4.94687551776363e-19,"OFRA9"
0.00126075744628906,"OFRA13"
0.207810853086298,"OFRA16"
0.372678594767327,"PAST4"
0.0462948281517933,"PAST13"
1.35399506633959e-17,"PAST16"
0.307697346958028,"PPOR4"
4.48476898226657e-16,"PPOR9"
0.000952337033581735,"PPOR13"
8.02424203608982e-17,"PPOR16"
0.0536457731976541,"AAGA4"
0.152016219700594,"AAGA9"
0.303291861963963,"AAGA13"
NA,"AAGA16"
0.000695955185663132,"MCAV4"
1.28291658306438e-07,"MCAV9"
0.228017534992001,"OFAV4"
6.33299371043406e-05,"OFAV9"
0.465671256290372,"OFAV13"
0.102215619035327,"OFAV16"
1.12722443929576e-15,"OFRA4"
0.0749165346853883,"OFRA9"
0.143160048521737,"OFRA13"
4.37996186078824e-16,"OFRA16"
0.162048618324418,"PAST4"
0.875462912509713,"PAST9"
0.0546668726605945,"PAST13"
3.88075455575615e-05,"PAST16"
0.482368309327601,"PPOR4"
1.76759419464622e-16,"PPOR9"
0.000298943293284792,"PPOR13"
0.866704745357677,"PPOR16"
0.103559605151271,"AAGA4"
0.0435260412117586,"AAGA9"
0.999999999999702,"AAGA13"
0.692239383962635,"AAGA16"
0.29080036841129,"MCAV4"
2.68239335196565e-08,"MCAV9"
0.0435094128670622,"MCAV13"
0.235343427085246,"MCAV16"
0.300266900053508,"OFAV4"
NA,"OFAV9"
0.363213937673293,"OFAV13"
0.17798891660581,"OFAV16"
0.794011409164318,"OFRA4"
0.0807893403362509,"OFRA9"
3.63666163259013e-17,"OFRA13"
0.293182276758852,"OFRA16"
9.09146534896783e-17,"PAST4"
4.92645511428203e-17,"PAST9"
0.266160872633158,"PAST13"
0.709952428085367,"PAST16"
0.556043802826905,"PPOR4"
0.0957480634065613,"PPOR9"
0.261653440514125,"PPOR16"
0.0773644431166917,"AAGA4"
0.024976888238724,"AAGA9"
0.994395801808094,"AAGA13"
0.525946389576769,"AAGA16"
0.171764986094585,"MCAV4"
0.214010389627514,"MCAV9"
