"species","variable","estimate","std.error","statistic","p.value","Variable"
"PPOR","chla.ug.cm2",0.0175453517415473,0.00830602318053501,2.11236488993487,0.042551175408743,"chla.ug.cm2"
"PPOR","prot_mg.cm2",0.00366762349682201,0.00148587655797949,2.4683231437538,0.0184583568424773,"prot_mg.cm2"
"PPOR","D",0.0451424580630195,0.00943468742960861,4.78473276405005,2.134882104912e-05,"D"
"PPOR","cor_di",-6.10683966954981e-05,2.73488767299254e-05,-2.23293984972613,0.03121492888124,"cor_di"
"PPOR","cal_di",-1.15577739618676e-05,2.1752142518625e-05,-0.531339565836854,0.598121938985565,"cal_di"
"PPOR","cor_a",-1.92914980334525e-05,8.26774817062626e-06,-2.3333436910901,0.0247432924900317,"cor_a"
"PPOR","cal_a",-2.12153637535291e-06,4.77234351076624e-06,-0.44454812830778,0.659042445860103,"cal_a"
"PPOR","delt_n_S",0.00123279769614857,0.00117971832425723,1.04499325881435,0.311557856759644,"delt_n_S"
"PPOR","delt_n_H",0.000234715446354657,0.00106985686309172,0.219389578598735,0.82895915973314,"delt_n_H"
"PPOR","delt_c_S",0.0107764651734564,0.00199818228160789,5.39313418632902,5.97638945204597e-05,"delt_c_S"
"PPOR","delt_c_H",0.0125186245490805,0.00253923391278343,4.93007929913712,0.000126873642052681,"delt_c_H"
"PPOR","cn_ratio_S",-0.000977381335542854,0.000783228692281217,-1.24788755209689,0.230026875631548,"cn_ratio_S"
"PPOR","cn_ratio_H",-0.000351244812617731,0.000963786903051318,-0.364442400602977,0.720021377560177,"cn_ratio_H"
