"species","variable","estimate","std.error","statistic","p.value","Variable"
"MCAV","Host_AFDW_mg.cm2",0.00954974385499364,0.00753931010156781,1.26666017531336,0.212985969082865,"Host_AFDW_mg.cm2"
"MCAV","Sym_AFDW_mg.cm2",0.0352343599847565,0.0194303177836517,1.81337023805148,0.0776787554131156,"Sym_AFDW_mg.cm2"
"MCAV","sym.cm2",5358.45440002488,1596.79670284076,3.35575242013714,0.00184050772036779,"sym.cm2"
"MCAV","chla.ug.cm2",0.0105869474205053,0.0123415486845868,0.857829733615782,0.396364856367364,"chla.ug.cm2"
"MCAV","prot_mg.cm2",0.0011449889982498,0.00190400048324602,0.601359615359853,0.551171350713195,"prot_mg.cm2"
"MCAV","D",0.0121769557494033,0.00379491215926089,3.20875826326765,0.00270809822791167,"D"
"MCAV","cor_di",-0.00225015555937329,0.000683610455416406,-3.2915756942346,0.00223731874072688,"cor_di"
"MCAV","cal_di",-0.00217586598310036,0.000758004624987005,-2.87051808310228,0.00732163852307058,"cal_di"
"MCAV","cor_a",-0.00134638081645848,0.000449107059046258,-2.99790615475452,0.00541842366384251,"cor_a"
"MCAV","cal_a",-0.00253633949317171,0.00116297548602689,-2.18090537904345,0.0371638338252344,"cal_a"
"MCAV","delt_n_S",-0.0117538483181977,0.00794216694089142,-1.47992964711952,0.158312602787246,"delt_n_S"
"MCAV","delt_n_H",-0.0303690358518129,0.0151902055013956,-1.99925115226538,0.0640337383749196,"delt_n_H"
"MCAV","delt_c_S",-0.000857220869046549,0.0208309212317102,-0.0411513662555467,0.967684368273513,"delt_c_S"
"MCAV","delt_c_H",0.036291334543724,0.00782638127549017,4.63705169301901,0.00032242649012284,"delt_c_H"
"MCAV","cn_ratio_S",-0.0145592580301792,0.0211763714424053,-0.68752373699984,0.501598348815475,"cn_ratio_S"
"MCAV","cn_ratio_H",0.00529788699469788,0.0101313341760043,0.522920960128403,0.608667491479475,"cn_ratio_H"
"OFAV","Host_AFDW_mg.cm2",0.002090437664262,0.00988909887145307,0.211388084135399,0.83377660043368,"Host_AFDW_mg.cm2"
"OFAV","Sym_AFDW_mg.cm2",0.000623136519717802,0.0164110466397414,0.037970553213151,0.969920944537415,"Sym_AFDW_mg.cm2"
"OFAV","sym.cm2",-3753.42484481175,4319.61475738476,-0.868925831498038,0.390342927861721,"sym.cm2"
"OFAV","chla.ug.cm2",-0.0180435407207115,0.0170427364193905,-1.05872321654769,0.296239384504338,"chla.ug.cm2"
"OFAV","prot_mg.cm2",0.00324022209733592,0.00245117494061125,1.32190568843197,0.193901143292599,"prot_mg.cm2"
"OFAV","D",0.0431932893134734,0.0120991422643633,3.56994639534857,0.000966648649625483,"D"
"OFAV","cor_di",-0.000769280302865839,0.00027099053757193,-2.83877182487099,0.00715503593240359,"cor_di"
"OFAV","cal_di",-0.000338202704136818,0.000192364067105616,-1.75813866500925,0.0865702917774992,"cal_di"
"OFAV","cor_a",-0.000548565292197756,0.00016688658302003,-3.28705449096477,0.00214819986499952,"cor_a"
"OFAV","cal_a",-0.000152513541521267,7.9934415372706e-05,-1.907983448808,0.0637752126460316,"cal_a"
"OFAV","delt_n_S",0.0144566930981089,0.0080018706898206,1.80666417372874,0.0875617756294344,"delt_n_S"
"OFAV","delt_n_H",0.00761610167575747,0.00672558182208371,1.13240785365955,0.273183169290969,"delt_n_H"
"OFAV","delt_c_S",0.0581997503702159,0.0335516835744438,1.73462980601505,0.0998973585178503,"delt_c_S"
"OFAV","delt_c_H",0.0626308375480921,0.0189785183331622,3.30009100018381,0.00422926648050752,"delt_c_H"
"OFAV","cn_ratio_S",-0.03447022509351,0.0376033712261121,-0.916679115982388,0.371429915679283,"cn_ratio_S"
"OFAV","cn_ratio_H",-0.0243477693680206,0.0125301918861994,-1.94312821297149,0.0698085200384657,"cn_ratio_H"
"OFRA","Host_AFDW_mg.cm2",0.00429134513161621,0.00964993144108966,0.444702136778252,0.658932069106142,"Host_AFDW_mg.cm2"
"OFRA","Sym_AFDW_mg.cm2",0.0192198400271082,0.0179542314510019,1.07049082438088,0.290815532193878,"Sym_AFDW_mg.cm2"
"OFRA","sym.cm2",5889.84475805846,4422.52621800482,1.33178289233876,0.190471019634914,"sym.cm2"
"OFRA","chla.ug.cm2",0.0147419418575532,0.0148124857095524,0.995237541261984,0.325755880493699,"chla.ug.cm2"
"OFRA","prot_mg.cm2",0.00486546070065392,0.00231569041570094,2.10108426742406,0.0425046921569414,"prot_mg.cm2"
"OFRA","D",0.0462961305519003,0.0107988352854773,4.28714109698118,0.00010710352738091,"D"
"OFRA","cor_di",-0.00106232253840684,0.00035230226256658,-3.01537245508345,0.0043915403941933,"cor_di"
"OFRA","cal_di",-0.000368943422032102,0.00025107708344959,-1.46944283788519,0.14934485502812,"cal_di"
"OFRA","cor_a",-0.000883743570367236,0.000243884713596869,-3.62361198179901,0.000793635311469557,"cor_a"
"OFRA","cal_a",-0.000181792902017808,9.75722996465882e-05,-1.86316098602032,0.0696137907659264,"cal_a"
"OFRA","delt_n_S",0.00140145494728078,0.0087859223628541,0.159511419450504,0.87504220423835,"delt_n_S"
"OFRA","delt_n_H",0.00101103389663404,0.00628035934588895,0.160983447116899,0.873899469451042,"delt_n_H"
"OFRA","delt_c_S",-0.0103096718668963,0.0443045710195673,-0.23269995916094,0.818619826109222,"delt_c_S"
"OFRA","delt_c_H",0.0203285372712353,0.0124499321982634,1.63282313088186,0.119876112526555,"delt_c_H"
"OFRA","cn_ratio_S",-0.0171375156459805,0.0431366593741103,-0.39728425646855,0.695829344788356,"cn_ratio_S"
"OFRA","cn_ratio_H",-0.00445709882553238,0.0152727492977595,-0.291833430814334,0.773750712681852,"cn_ratio_H"
"PAST","Host_AFDW_mg.cm2",0.0341304459592935,0.0111487438771381,3.06137142761726,0.00435888698323458,"Host_AFDW_mg.cm2"
"PAST","Sym_AFDW_mg.cm2",-0.0548613787907687,0.0264162579926079,-2.07680356567234,0.0456812046298981,"Sym_AFDW_mg.cm2"
"PAST","sym.cm2",-298.72891501433,4252.71436108647,-0.0702442933265831,0.944498523168447,"sym.cm2"
"PAST","chla.ug.cm2",-0.0433897065856952,0.0238514543795531,-1.81916397613436,0.0779705304903504,"chla.ug.cm2"
"PAST","prot_mg.cm2",-0.00142133886854203,0.00377341044007914,-0.376672214992923,0.708628333255322,"prot_mg.cm2"
"PAST","D",0.207156209431535,0.0410419502355464,5.04742606632073,1.21819980369014e-05,"D"
"PAST","cor_di",-0.000140983648703228,0.000109793506597651,-1.28408002505902,0.206888139926896,"cor_di"
"PAST","cal_di",-5.0137208213455e-05,7.50868175911804e-05,-0.667723174611466,0.508345582994977,"cal_di"
"PAST","cor_a",-3.13591264808555e-05,2.28434309126841e-05,-1.37278531411159,0.177866980847458,"cor_a"
"PAST","cal_a",-9.41208913211484e-06,1.15445732984227e-05,-0.815282547809781,0.419991381219219,"cal_a"
"PAST","delt_n_S",0.00972465186562929,0.00445547292145419,2.18263067401952,0.044312311310155,"delt_n_S"
"PAST","delt_n_H",-0.007022602198352,0.00763278163776055,-0.920058051131726,0.370414348626784,"delt_n_H"
"PAST","delt_c_S",-0.0052795133957586,0.0192655839461941,-0.27403858665813,0.787561357735545,"delt_c_S"
"PAST","delt_c_H",0.00697822352632831,0.0173129482490976,0.403063847123325,0.691925128900625,"delt_c_H"
"PAST","cn_ratio_S",-0.0282521480404324,0.0191262537240401,-1.47713966613973,0.15905050811324,"cn_ratio_S"
"PAST","cn_ratio_H",0.0001858771433991,0.011568694323193,0.0160672534173932,0.987367802565863,"cn_ratio_H"
"PPOR","Host_AFDW_mg.cm2",0.0252275394893413,0.0109557059510343,2.30268497549076,0.0268655513070129,"Host_AFDW_mg.cm2"
"PPOR","Sym_AFDW_mg.cm2",0.0463658974830325,0.0287274916223517,1.61399046225662,0.114592694748711,"Sym_AFDW_mg.cm2"
"PPOR","sym.cm2",-778.808291732385,4028.07518722052,-0.193345023499867,0.847746255264152,"sym.cm2"
"PPOR","chla.ug.cm2",0.0791888699757794,0.0356063471408587,2.22400994020836,0.0333281135880472,"chla.ug.cm2"
"PPOR","prot_mg.cm2",0.0163800296984076,0.00635293370138042,2.57834104184786,0.0141643612191706,"prot_mg.cm2"
"PPOR","D",0.197723685165777,0.0401011419951023,4.93062479841411,1.33309011729719e-05,"D"
"PPOR","cor_di",-0.000265442454262156,0.00011704719667648,-2.26782410685019,0.0288127288618395,"cor_di"
"PPOR","cal_di",-4.95299321988481e-05,9.32569937733475e-05,-0.531112254371248,0.59827798645665,"cal_di"
"PPOR","cor_a",-8.39074245288569e-05,3.53752592324998e-05,-2.37192394767725,0.0225961233588569,"cor_a"
"PPOR","cal_a",-8.58023993567888e-06,2.04657588008335e-05,-0.419248561422968,0.677277526076101,"cal_a"
"PPOR","delt_n_S",0.00446537919920739,0.0051675466533022,0.864119764908923,0.40029164220594,"delt_n_S"
"PPOR","delt_n_H",0.000570621373511814,0.00461938981835365,0.123527434563897,0.90313818873173,"delt_n_H"
"PPOR","delt_c_S",0.046933201173474,0.0085932373840918,5.46164374096763,5.22352154029437e-05,"delt_c_S"
"PPOR","delt_c_H",0.0537186026000039,0.0110344271833225,4.86827287973721,0.000144481943593174,"delt_c_H"
"PPOR","cn_ratio_S",-0.00418994726420923,0.00339966880320296,-1.23245748534731,0.235582240919985,"cn_ratio_S"
"PPOR","cn_ratio_H",-0.00181330158322466,0.00415036364692428,-0.436901856676691,0.667681430990543,"cn_ratio_H"
